name,link,price,image,year
Welt Rambler 29 (2024),https://www.velostrana.ru/welt/rambler-29/,98990.00,https://cdn.velostrana.ru/upload/models/velo/63804/full/b88f91216178f2587be9ac79763b7d87.jpg,2024
Forward Apache 29 X D (2024),https://www.velostrana.ru/forward/apache-29-x-d/,41190.00,https://cdn.velostrana.ru/upload/models/velo/63943/medium.jpg,2024
"Stinger Element Evo 29"" (2024)",https://www.velostrana.ru/stinger/element-evo-29/,34000.00,https://cdn.velostrana.ru/upload/models/velo/63808/full/79d4ea8a8f0acadda70d9d0c9371eaa6.jpg,2024
Welt Ridge 1.1 D 29 (2024),https://www.velostrana.ru/welt/ridge-11-d-29/,30390.00,https://cdn.velostrana.ru/upload/models/velo/62654/medium.jpg,2024
"Stinger Zeta STD 29"" (2024)",https://www.velostrana.ru/stinger/zeta-std-29/,120000.00,https://cdn.velostrana.ru/upload/models/velo/63934/medium.jpg,2024
Welt Reaver (2024),https://www.velostrana.ru/welt/reaver/,69990.00,https://cdn.velostrana.ru/upload/models/velo/64245/medium.jpg,2024
"Stinger Reload STD 29"" (2023)",https://www.velostrana.ru/stinger/reload-std-29/2023/,63200.00,https://cdn.velostrana.ru/upload/models/velo/61130/full/bd79e8580fd735eef5278cdc452c6c66.jpg,2023
Giant Talon 4 27.5 (2022),https://www.velostrana.ru/giant/talon-275-4/,48990.00,https://cdn.velostrana.ru/upload/models/velo/55221/medium.jpg,2022
Welt Ridge 1.1 HD 29 (2024),https://www.velostrana.ru/welt/ridge-11-hd-29/,34390.00,https://cdn.velostrana.ru/upload/models/velo/62657/medium.jpg,2024
Stels Navigator 640 MD V010 (2023),https://www.velostrana.ru/stels/navigator-640-md-v010/,28660.00,https://cdn.velostrana.ru/upload/models/velo/47792/medium.jpg,2023
Titan Racing Rogue SE (2024),https://www.velostrana.ru/titan-racing/rogue-se/,39690.00,https://cdn.velostrana.ru/upload/models/velo/62063/medium.jpg,2024
"Stinger Zeta STD 27.5"" (2023)",https://www.velostrana.ru/stinger/zeta-std-275/2023/,88500.00,https://cdn.velostrana.ru/upload/models/velo/60996/medium.jpg,2023
Welt Ridge 1.1 HD 27 (2024),https://www.velostrana.ru/welt/ridge-11-hd-27/,34390.00,https://cdn.velostrana.ru/upload/models/velo/62655/medium.jpg,2024
Welt Raven 2.1 HD 29 (2024),https://www.velostrana.ru/welt/raven-21-hd-29/,43190.00,https://cdn.velostrana.ru/upload/models/velo/62652/medium.jpg,2024
Stark Tank 29.1 HD (2023),https://www.velostrana.ru/stark/tank-291-hd/,27990.00,https://cdn.velostrana.ru/upload/models/velo/61236/medium.jpg,2023
Atom Bion Nine 50 (2024),https://www.velostrana.ru/atom/bion-nine-50/,62100.00,https://cdn.velostrana.ru/upload/models/velo/63866/full/a4de3f4243fbcde142add39ed86fb006.jpg,2024
Stels Navigator 760 MD V010 (2023),https://www.velostrana.ru/stels/navigator-760-md-v010/,41940.00,https://cdn.velostrana.ru/upload/models/velo/45472/medium.jpg,2023
Welt Rockfall 2.0 27 (2024),https://www.velostrana.ru/welt/rockfall-20-27/,50390.00,https://cdn.velostrana.ru/upload/models/velo/62528/medium.jpg,2024
"Stinger Graphite Pro 29"" (2023)",https://www.velostrana.ru/stinger/graphite-pro-29/2023/,50300.00,https://cdn.velostrana.ru/upload/models/velo/60787/medium.jpg,2023
Stark Tactic 27.4+ HD (2024),https://www.velostrana.ru/stark/tactic-274-plus-hd/2024/,75590.00,https://cdn.velostrana.ru/upload/models/velo/62439/medium.jpg,2024
Stark Tank 27.1 HD (2023),https://www.velostrana.ru/stark/tank-271-hd/,27990.00,https://cdn.velostrana.ru/upload/models/velo/61235/medium.jpg,2023
Stark Slash 26.1 D (2024),https://www.velostrana.ru/stark/slash-261-d/2024/,32880.00,https://cdn.velostrana.ru/upload/models/velo/63858/medium.jpg,2024
Stels Navigator 620 V K010 (2023),https://www.velostrana.ru/stels/navigator-620-v-k010/,20970.00,https://cdn.velostrana.ru/upload/models/velo/60992/medium.jpg,2023
"Stinger Genesis STD 29"" (2023)",https://www.velostrana.ru/stinger/genesis-std-29/2023/,112000.00,https://cdn.velostrana.ru/upload/models/velo/60987/medium.jpg,2023
Stels Navigator 700 MD Курьер Z010 (2025),https://www.velostrana.ru/stels/navigator-700-md-kurer-z010/,18310.00,https://cdn.velostrana.ru/upload/models/velo/65806/medium.jpg,2025
Stels Navigator 700 MD Z010 (2025),https://www.velostrana.ru/stels/navigator-700-md-z010/,17340.00,https://cdn.velostrana.ru/upload/models/velo/65807/medium.jpg,2025
Hagen Seven Twelve Carbon 29 (2024),https://www.velostrana.ru/hagen/seven-twelve-carbon-29/,169000.00,https://cdn.velostrana.ru/upload/models/velo/62625/medium.jpg,2024
"Stinger Element Evo 26"" (2024)",https://www.velostrana.ru/stinger/element-evo-26/,33300.00,https://cdn.velostrana.ru/upload/models/velo/62604/full/84d7261ca663180ab2abf7b5143079c3.jpg,2024
Stark Tactic 29.5 HD (2024),https://www.velostrana.ru/stark/tactic-295-hd/,77900.00,https://cdn.velostrana.ru/upload/models/velo/62437/medium.jpg,2024
Stels Navigator 510 MD V010 (2025),https://www.velostrana.ru/stels/navigator-510-md-v010/,19010.00,https://cdn.velostrana.ru/upload/models/velo/65812/full/980c35b944374d17b282d5292a1509de.jpg,2025
Stark Hunter 27.2+ HD (2023),https://www.velostrana.ru/stark/hunter-272-plus-hd/,43550.00,https://cdn.velostrana.ru/upload/models/velo/60859/medium.jpg,2023
Stark Respect 29.1 D Microshift (2023),https://www.velostrana.ru/stark/respect-291-d-microshift/,24100.00,https://cdn.velostrana.ru/upload/models/velo/60829/full/4ddb5f3a821534e34c5e54c0caf390bc.jpg,2023
Welt Freedom 27 Plus (2024),https://www.velostrana.ru/welt/freedom-27-plus/,49990.00,https://cdn.velostrana.ru/upload/models/velo/62580/medium.jpg,2024
Aspect Legend 29 (2023),https://www.velostrana.ru/aspect/legend-29/2023/,48990.00,https://cdn.velostrana.ru/upload/models/velo/58423/medium.jpg,2023
Stark Respect 27.1 D Microshift (2023),https://www.velostrana.ru/stark/respect-271-d-microshift/,23670.00,https://cdn.velostrana.ru/upload/models/velo/60835/full/12a48cd9b2f3964fddd1a598a2ed804a.jpg,2023
Stark Tank 27.1 D (2023),https://www.velostrana.ru/stark/tank-271-d/,25990.00,https://cdn.velostrana.ru/upload/models/velo/58722/medium.jpg,2023
Aspect Air 27.5 (2024),https://www.velostrana.ru/aspect/air-275/,66990.00,https://cdn.velostrana.ru/upload/models/velo/62327/medium.jpg,2024
Stark Tank 29.1 D Steel (2022),https://www.velostrana.ru/stark/tank-291-d-steel/,25580.00,https://cdn.velostrana.ru/upload/models/velo/54159/medium.jpg,2022
Stels Navigator 700 MD F020 (2023),https://www.velostrana.ru/stels/navigator-700-md-f020/,17340.00,https://cdn.velostrana.ru/upload/models/velo/51836/medium.jpg,2023
Welt Rubicon 3.0 29 (2023),https://www.velostrana.ru/welt/rubicon-30-29/2023/,75990.00,https://cdn.velostrana.ru/upload/models/velo/60100/medium.jpg,2023
Aspect Cobalt 29 (2023),https://www.velostrana.ru/aspect/cobalt-29/2023/,57990.00,https://cdn.velostrana.ru/upload/models/velo/58426/medium.jpg,2023
Aspect Ideal 27.5 (2024),https://www.velostrana.ru/aspect/ideal-275/,39490.00,https://cdn.velostrana.ru/upload/models/velo/62301/medium.jpg,2024
Welt Ranger 1.0 29 (2024),https://www.velostrana.ru/welt/ranger-10-29/,43990.00,https://cdn.velostrana.ru/upload/models/velo/62552/medium.jpg,2024
Format 1314 Plus (2023),https://www.velostrana.ru/format/1314-plus/,77250.00,https://cdn.velostrana.ru/upload/models/velo/60040/medium.jpg,2023
Stels Navigator 610 D V010 (2023),https://www.velostrana.ru/stels/navigator-610-d-v010/,21810.00,https://cdn.velostrana.ru/upload/models/velo/47790/full/d255adf2d8ad09666387018ea5c1c417.jpg,2023
"Forward Sporting 27,5 3.2 HD (2022)",https://www.velostrana.ru/forward/sporting-275-32-hd/2022/,28100.00,https://cdn.velostrana.ru/upload/models/velo/56009/medium.jpg,2022
Atom XTrail X10 (2023),https://www.velostrana.ru/atom/xtrail-x10/,76775.00,https://cdn.velostrana.ru/upload/models/velo/60780/medium.jpg,2023
Atom Bion Nine LTD (2024),https://www.velostrana.ru/atom/bion-nine-ltd/,65250.00,https://cdn.velostrana.ru/upload/models/velo/63867/medium.jpg,2024
Aspect Air Comp 29 (2023),https://www.velostrana.ru/aspect/air-comp-29/,71490.00,https://cdn.velostrana.ru/upload/models/velo/58430/medium.jpg,2023
Atom Bion Nine 350 (2024),https://www.velostrana.ru/atom/bion-nine-350/,82800.00,https://cdn.velostrana.ru/upload/models/velo/63865/medium.jpg,2024
Welt Ridge 2.0 HD 27 (2022),https://www.velostrana.ru/welt/ridge-20-hd-27/2022/,38990.00,https://cdn.velostrana.ru/upload/models/velo/54786/medium.jpg,2022
Aspect Thunder 29 (2023),https://www.velostrana.ru/aspect/thunder-29/2023/,63990.00,https://cdn.velostrana.ru/upload/models/velo/58427/medium.jpg,2023
Forward Apache 27.5 2.0 D (2024),https://www.velostrana.ru/forward/apache-275-20-d/,35980.00,https://cdn.velostrana.ru/upload/models/velo/63918/medium.jpg,2024
Stark Tank 29.2 D+ (2024),https://www.velostrana.ru/stark/tank-292-d-plus/,39360.00,https://cdn.velostrana.ru/upload/models/velo/62413/medium.jpg,2024
"Stels Adrenalin MD 27.5"" V010 (2023)",https://www.velostrana.ru/stels/adrenalin-md-275-v010/,42640.00,https://cdn.velostrana.ru/upload/models/velo/44358/medium.jpg,2023
Stark Viva 27.2 D (2024),https://www.velostrana.ru/stark/viva-272-d/2024/,42830.00,https://cdn.velostrana.ru/upload/models/velo/62457/medium.jpg,2024
Aspect Ideal 27.5 (2022),https://www.velostrana.ru/aspect/ideal-275/2022/,38990.00,https://cdn.velostrana.ru/upload/models/velo/53274/medium.jpg,2022
"Stinger Python Evo 29"" (2023)",https://www.velostrana.ru/stinger/python-evo-29/2023/,49400.00,https://cdn.velostrana.ru/upload/models/velo/60863/medium.jpg,2023
Forward Sporting 29 XX D (2022),https://www.velostrana.ru/forward/sporting-29-xx-d/,36490.00,https://cdn.velostrana.ru/upload/models/velo/56027/full/35036b057dab6776a6efb5fceab5d838.jpg,2022
Welt Ranger 4.0 27 (2022),https://www.velostrana.ru/welt/ranger-40-27/2022/,69990.00,https://cdn.velostrana.ru/upload/models/velo/54770/medium.jpg,2022
Format 1413 27.5 (2021),https://www.velostrana.ru/format/1413-275/2021/,47520.00,https://cdn.velostrana.ru/upload/models/velo/51216/full/2c9d7fb092581e357d647d8a58f87881.jpg,2021
Welt Ranger 2.0 27 (2023),https://www.velostrana.ru/welt/ranger-20-27/2023/,52990.00,https://cdn.velostrana.ru/upload/models/velo/59101/medium.jpg,2023
"Forward Apache 27,5 3.0 HD (2022)",https://www.velostrana.ru/forward/apache-275-30-hd/,29890.00,https://cdn.velostrana.ru/upload/models/velo/55731/medium.jpg,2022
Welt Rockfall 5.0 27 (2023),https://www.velostrana.ru/welt/rockfall-50-27/2023/,68990.00,https://cdn.velostrana.ru/upload/models/velo/59091/full/ae2a39a43e2a39137f834e300e10bcde.jpg,2023
Welt Ranger 2.0 29 (2023),https://www.velostrana.ru/welt/ranger-20-29/2023/,59990.00,https://cdn.velostrana.ru/upload/models/velo/59102/medium.jpg,2023
Welt Rockfall 4.0 27 (2023),https://www.velostrana.ru/welt/rockfall-40-27/2023/,57990.00,https://cdn.velostrana.ru/upload/models/velo/59093/medium.jpg,2023
Cube Aim Race 29 (2024),https://www.velostrana.ru/cube/aim-race-29/2024/,83700.00,https://cdn.velostrana.ru/upload/models/velo/62950/medium.jpg,2024
Forward Sporting 29 2.0 D (2023),https://www.velostrana.ru/forward/sporting-29-20-d/,27690.00,https://cdn.velostrana.ru/upload/models/velo/60378/medium.jpg,2023
Stels Navigator 930 D V010 (2023),https://www.velostrana.ru/stels/navigator-930-d-v010/,39840.00,https://cdn.velostrana.ru/upload/models/velo/44202/medium.jpg,2023
Welt Ridge 1.1 D 27 (2024),https://www.velostrana.ru/welt/ridge-11-d-27/,30390.00,https://cdn.velostrana.ru/upload/models/velo/62653/medium.jpg,2024
Stels Navigator 910 MD V010 (2023),https://www.velostrana.ru/stels/navigator-910-md-v010/2023/,23630.00,https://cdn.velostrana.ru/upload/models/velo/40846/full/d5ff391de151cda6c40cd94657b6ea77.jpg,2023
"Forward Sporting 27,5 3.2 HD (2023)",https://www.velostrana.ru/forward/sporting-275-32-hd/,29000.00,https://cdn.velostrana.ru/upload/models/velo/60379/full/1e9f95f871f9040907d0f774b93f503d.jpg,2023
Stels Navigator 920 MD V010 (2023),https://www.velostrana.ru/stels/navigator-920-md-v010/2023/,30060.00,https://cdn.velostrana.ru/upload/models/velo/49015/medium.jpg,2023
"Titan Racing Hades 26"" Disc (2024)",https://www.velostrana.ru/titan-racing/hades-26-disc/,36110.00,https://cdn.velostrana.ru/upload/models/velo/62057/medium.jpg,2024
Welt Ranger 4.0 29 (2024),https://www.velostrana.ru/welt/ranger-40-29/,75990.00,https://cdn.velostrana.ru/upload/models/velo/62558/medium.jpg,2024
Cube Analog 29 (2024),https://www.velostrana.ru/cube/analog-29/,115500.00,https://cdn.velostrana.ru/upload/models/velo/63015/medium.jpg,2024
Cube Aim EX 29 (2024),https://www.velostrana.ru/cube/aim-ex-29/,96300.00,https://cdn.velostrana.ru/upload/models/velo/62959/medium.jpg,2024
Stels Navigator 720 MD V010 (2023),https://www.velostrana.ru/stels/navigator-720-md-v010/,26700.00,https://cdn.velostrana.ru/upload/models/velo/49013/full/3fabc18ac8c4157816cfeb282fe7fbc5.jpg,2023
Cube Aim SLX 29 (2024),https://www.velostrana.ru/cube/aim-slx-29/2024/,102600.00,https://cdn.velostrana.ru/upload/models/velo/63008/medium.jpg,2024
Stels Navigator 970 D V010 (2023),https://www.velostrana.ru/stels/navigator-970-d-v010/2023/,57600.00,https://cdn.velostrana.ru/upload/models/velo/51726/medium.jpg,2023
"Stels Navigator 930 MD 29"" V010 (2023)",https://www.velostrana.ru/stels/navigator-930-md-v010/2023/,34810.00,https://cdn.velostrana.ru/upload/models/velo/40847/full/0c59a80f79c4e5baeb8168a13f9f02ce.jpg,2023
Welt Ranger 2.0 29 (2024),https://www.velostrana.ru/welt/ranger-20-29/,52790.00,https://cdn.velostrana.ru/upload/models/velo/62554/medium.jpg,2024
Superior XP 939 (2024),https://www.velostrana.ru/superior/xp-939/,146100.00,https://cdn.velostrana.ru/upload/models/velo/63834/full/718da8849f098eae97634e2ff243e74f.jpg,2024
Stark Fat 27.3 HD (2024),https://www.velostrana.ru/stark/fat-273-hd/,60950.00,https://cdn.velostrana.ru/upload/models/velo/63851/medium.jpg,2024
Welt Raven 1.0 D 29 (2024),https://www.velostrana.ru/welt/raven-10-d-29/,35990.00,https://cdn.velostrana.ru/upload/models/velo/62551/medium.jpg,2024
Welt Ridge 1.0 HD 27 (2024),https://www.velostrana.ru/welt/ridge-10-hd-27/,31990.00,https://cdn.velostrana.ru/upload/models/velo/62537/medium.jpg,2024
Welt Raven 1.0 HD 29 (2024),https://www.velostrana.ru/welt/raven-10-hd-29/,39190.00,https://cdn.velostrana.ru/upload/models/velo/62548/full/c07c77a0cdbfb183ead0a58dfd9e16c4.jpg,2024
Polygon Xtrada 5 29 (2023),https://www.velostrana.ru/polygon/xtrada-5-29/,94080.00,https://cdn.velostrana.ru/upload/models/velo/58627/medium.jpg,2023
Stark Tank 29.1 D + (2025),https://www.velostrana.ru/stark/tank-291-d-plus/,42990.00,https://cdn.velostrana.ru/upload/models/velo/64581/medium.jpg,2025
